Region,Year,Gender,Sat_Very,Sat_Somewhat,Sat_Neutral,Unsat_Somewhat,Unsat_Very,Satisfaction_Rate,Dissatisfaction_Rate,Avg_Satisfaction_Score,Suicide_Rate
전국,2020,Total,14.1,28.6,44.9,10.2,2.3,42.7,12.5,3.423,25.7
전국,2021,Total,9.8,24.2,43.1,18.1,4.8,34.0,22.900000000000002,3.161,26.0
전국,2022,Total,12.1,31.2,42.6,11.6,2.5,43.3,14.1,3.388,25.2
전국,2023,Total,11.9,30.3,43.3,11.5,3.0,42.2,14.5,3.3659999999999997,27.3
전국,2024,Total,11.5,28.6,47.2,10.5,2.2,40.1,12.7,3.367,29.1
전국,2020,남자,15.2,28.3,44.6,9.5,2.3,43.5,11.8,3.443,35.5
전국,2021,남자,10.2,23.6,42.8,18.2,5.3,33.8,23.5,3.1549999999999994,35.9
전국,2022,남자,12.6,30.8,42.4,11.4,2.7,43.4,14.100000000000001,3.389,35.3
전국,2023,남자,12.4,30.1,43.0,11.3,3.3,42.5,14.600000000000001,3.373,38.3
전국,2024,남자,11.9,28.6,47.1,10.1,2.3,40.5,12.399999999999999,3.3770000000000007,41.8
전국,2020,여자,13.0,28.9,45.1,10.8,2.2,41.9,13.0,3.397,15.9
전국,2021,여자,9.5,24.8,43.4,18.1,4.3,34.3,22.400000000000002,3.174,16.2
전국,2022,여자,11.6,31.6,42.7,11.7,2.3,43.2,14.0,3.3819999999999997,15.1
전국,2023,여자,11.5,30.5,43.6,11.8,2.7,42.0,14.5,3.366,16.5
전국,2024,여자,11.1,28.6,47.3,10.9,2.2,39.7,13.100000000000001,3.3579999999999997,16.6
서울특별시,2020,Total,15.5,30.9,40.4,10.7,2.5,46.4,13.2,3.4619999999999993,22.7
서울특별시,2021,Total,9.3,24.8,42.3,18.1,5.5,34.1,23.6,3.1429999999999993,22.6
서울특별시,2022,Total,11.7,31.5,41.9,12.0,2.9,43.2,14.9,3.3709999999999996,21.4
서울특별시,2023,Total,11.4,30.5,43.3,11.8,3.1,41.9,14.9,3.3560000000000003,23.2
서울특별시,2024,Total,12.4,33.9,41.8,9.3,2.6,46.3,11.9,3.4420000000000006,24.1
서울특별시,2020,남자,17.5,30.3,40.9,9.0,2.4,47.8,11.4,3.5179999999999993,30.3
서울특별시,2021,남자,9.5,23.5,42.0,19.0,6.0,33.0,25.0,3.115,30.5
서울특별시,2022,남자,13.0,30.7,41.3,11.8,3.2,43.7,15.0,3.385,28.9
서울특별시,2023,남자,11.4,29.9,43.9,11.4,3.4,41.3,14.8,3.3449999999999993,31.2
서울특별시,2024,남자,12.9,33.1,42.2,8.9,2.8,46.0,11.7,3.4410000000000003,33.9
서울특별시,2020,여자,13.7,31.5,39.9,12.3,2.7,45.2,15.0,3.415,15.4
서울특별시,2021,여자,9.1,26.0,42.6,17.3,5.0,35.1,22.3,3.1690000000000005,15.0
서울특별시,2022,여자,10.5,32.3,42.5,12.2,2.6,42.8,14.799999999999999,3.362,14.4
서울특별시,2023,여자,11.4,30.9,42.8,12.1,2.8,42.3,14.899999999999999,3.36,15.6
서울특별시,2024,여자,12.0,34.6,41.4,9.6,2.5,46.6,12.1,3.443,14.9
부산광역시,2020,Total,13.5,26.6,46.1,11.3,2.5,40.1,13.8,3.3730000000000007,27.4
부산광역시,2021,Total,6.8,24.3,46.4,16.6,5.9,31.1,22.5,3.0949999999999993,27.7
부산광역시,2022,Total,10.8,30.2,43.7,12.5,2.7,41.0,15.2,3.3360000000000003,27.3
부산광역시,2023,Total,10.2,30.3,44.2,12.3,3.0,40.5,15.3,3.3240000000000003,29.1
부산광역시,2024,Total,12.1,25.4,47.5,12.0,3.0,37.5,15.0,3.3160000000000003,30.3
부산광역시,2020,남자,14.6,25.4,47.5,10.7,1.9,40.0,12.6,3.404,38.8
부산광역시,2021,남자,6.9,23.4,46.6,16.5,6.5,30.299999999999997,23.0,3.074,37.9
부산광역시,2022,남자,11.0,29.8,43.8,12.6,2.8,40.8,15.399999999999999,3.336,39.1
부산광역시,2023,남자,10.7,29.3,44.3,11.9,3.7,40.0,15.600000000000001,3.3109999999999995,42.7
부산광역시,2024,남자,13.0,24.7,48.6,10.6,3.1,37.7,13.7,3.3390000000000004,42.7
부산광역시,2020,여자,12.6,27.7,44.8,11.8,3.1,40.3,14.9,3.349,16.4
부산광역시,2021,여자,6.7,25.1,46.3,16.7,5.3,31.8,22.0,3.1149999999999993,17.9
부산광역시,2022,여자,10.6,30.7,43.7,12.4,2.6,41.3,15.0,3.343000000000001,16.0
부산광역시,2023,여자,9.7,31.3,44.0,12.7,2.3,41.0,15.0,3.3339999999999996,16.2
부산광역시,2024,여자,11.3,25.9,46.5,13.3,3.0,37.2,16.3,3.2920000000000003,18.5
대구광역시,2020,Total,9.7,23.5,51.1,13.7,2.1,33.2,15.799999999999999,3.253,26.1
대구광역시,2021,Total,9.4,21.6,46.0,19.6,3.5,31.0,23.1,3.1409999999999996,26.3
대구광역시,2022,Total,11.4,29.8,43.8,12.8,2.2,41.2,15.0,3.3539999999999996,27.0
대구광역시,2023,Total,11.2,26.4,45.2,14.2,3.1,37.599999999999994,17.3,3.2870000000000004,28.1
대구광역시,2024,Total,9.2,26.9,42.6,18.9,2.5,36.099999999999994,21.4,3.217,29.4
대구광역시,2020,남자,9.9,24.0,50.0,13.9,2.2,33.9,16.1,3.255,35.8
대구광역시,2021,남자,8.8,21.5,45.6,20.2,3.8,30.3,24.0,3.11,38.2
대구광역시,2022,남자,12.5,30.5,41.5,12.7,2.9,43.0,15.6,3.3729999999999993,39.1
대구광역시,2023,남자,11.5,25.7,45.2,14.0,3.6,37.2,17.6,3.2750000000000004,39.1
대구광역시,2024,남자,8.5,28.1,42.1,18.3,3.0,36.6,21.3,3.2080000000000006,40.2
대구광역시,2020,여자,9.5,22.9,52.1,13.5,2.1,32.4,15.6,3.245,16.6
대구광역시,2021,여자,10.0,21.6,46.3,19.0,3.1,31.6,22.1,3.1639999999999997,14.7
대구광역시,2022,여자,10.4,29.1,46.0,12.9,1.6,39.5,14.5,3.338,15.2
대구광역시,2023,여자,10.8,27.0,45.2,14.4,2.5,37.8,16.9,3.289,17.4
